name,time,quantity
บางนา,jan_61,6823.32
บางบอน,jan_61,6727.19
บางพลัด,jan_61,4739.01
บางรัก,jan_61,4690.24
บึงกุ่ม,jan_61,6161.32
ปทุมวัน,jan_61,9484.05
ประเวศ,jan_61,8446.32
ป้อมปราบศัตรูพ่าย,jan_61,2592.81
พญาไท,jan_61,5174.72
พระโขนง,jan_61,4402.87
พระนคร,jan_61,6114.44
ภาษีเจริญ,jan_61,4866.45
มีนบุรี,jan_61,5656.89
ยานนาวา,jan_61,5521.6
ราชเทวี,jan_61,6693.25
ราษฎร์บูรณะ,jan_61,3586.63
ลาดกระบัง,jan_61,8746.79
ลาดพร้าว,jan_61,6432.39
วังทองหลาง,jan_61,6914.36
วัฒนา,jan_61,8563.75
สวนหลวง,jan_61,6902.59
สะพานสูง,jan_61,3668.61
สัมพันธวงศ์,jan_61,1729.14
สาทร,jan_61,5022.9
สายไหม,jan_61,7249.38
หนองแขม,jan_61,5300.1
หนองจอก,jan_61,4099.72
หลักสี่,jan_61,5578.56
ห้วยขวาง,jan_61,6730.2
อื่นๆ,jan_61,19893
คลองเตย,feb_61,8583.18
คลองสาน,feb_61,3630.11
คลองสามวา,feb_61,5499.77
คันนายาว,feb_61,4153.56
จตุจักร,feb_61,11775.1
จอมทอง,feb_61,5988.34
ดอนเมือง,feb_61,5875.88
ดินแดง,feb_61,8025.83
ดุสิต,feb_61,4972.77
ตลิ่งชัน,feb_61,4304.25
ทวีวัฒนา,feb_61,3002.46
ทุ่งครุ,feb_61,4124.53
ธนบุรี,feb_61,4738.54
บางกอกน้อย,feb_61,4783.33
บางกอกใหญ่,feb_61,2205.82
บางกะปิ,feb_61,9469.34
บางขุนเทียน,feb_61,9489.46
บางเขน,feb_61,8517.92
บางคอแหลม,feb_61,3981.58
บางแค,feb_61,8200.77
บางซื่อ,feb_61,4683.62
บางนา,feb_61,6483.23
บางบอน,feb_61,6465.61
บางพลัด,feb_61,4477.7
บางรัก,feb_61,4534.55
บึงกุ่ม,feb_61,5879.25
ปทุมวัน,feb_61,8761.87
ประเวศ,feb_61,7921.35
ป้อมปราบศัตรูพ่าย,feb_61,2493.67
พญาไท,feb_61,4827.6
พระโขนง,feb_61,4040.16
พระนคร,feb_61,5744.13
ภาษีเจริญ,feb_61,4586.15
มีนบุรี,feb_61,5170.24
ยานนาวา,feb_61,5342.04
ราชเทวี,feb_61,6164.82
ราษฎร์บูรณะ,feb_61,3394.47
ลาดกระบัง,feb_61,8091
ลาดพร้าว,feb_61,6043.82
วังทองหลาง,feb_61,6512.04
วัฒนา,feb_61,7935.29
สวนหลวง,feb_61,6354.12
สะพานสูง,feb_61,3461.1
สัมพันธวงศ์,feb_61,1723.51
สาทร,feb_61,4679.32
สายไหม,feb_61,6555.19
หนองแขม,feb_61,5024.72
หนองจอก,feb_61,3662.99
หลักสี่,feb_61,5359.58
ห้วยขวาง,feb_61,6339.47
